OGLE-LMC-RRLYR-01925 19.284 20.012  0.3683386 0.0000015  2165.65343  0.254  0.000   -    0.000   -    0.4949145 0.0000056  2165.58515  0.148  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01950 18.996 19.544  0.3539310 0.0000009  2166.79182  0.236  0.152 5.374  0.146 3.339  0.4758110 0.0000023  2166.82793  0.212  0.168 4.482  0.000   -  
OGLE-LMC-RRLYR-01989 19.454 20.232  0.3650587 0.0000014  2165.60205  0.260  0.000   -    0.000   -    0.4902661 0.0000067  2165.72067  0.103  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02006 18.706 19.213  0.3977523 0.0000010  2166.48570  0.255  0.177 5.403  0.082 4.696  0.5333059 0.0000045  2166.58031  0.106  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02016 18.879 19.381  0.3573119 0.0000009  2166.66076  0.282  0.185 5.341  0.000   -    0.4801009 0.0000040  2166.42318  0.107  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02030 18.896 19.454  0.3585968 0.0000009  2166.50940  0.273  0.180 5.318  0.000   -    0.4816853 0.0000028  2166.38088  0.170  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02047 18.838 19.375  0.3561048 0.0000011  2166.51839  0.252  0.178 5.125  0.093 3.677  0.4788483 0.0000032  2166.63885  0.162  0.180 4.023  0.000   -  
OGLE-LMC-RRLYR-02099 18.715 19.300  0.3721428 0.0000018  2166.81912  0.245  0.148 4.997  0.000   -    0.5000917 0.0000056  2166.71644  0.200  0.219 4.638  0.000   -  
OGLE-LMC-RRLYR-02159 18.819 19.301  0.3676396 0.0000010  2165.79935  0.232  0.178 5.260  0.146 3.169  0.4938801 0.0000020  2165.47353  0.218  0.270 4.281  0.000   -  
OGLE-LMC-RRLYR-02172 18.838 19.340  0.3658665 0.0000010  2165.87102  0.260  0.179 5.456  0.000   -    0.4915538 0.0000023  2165.45818  0.217  0.153 4.267  0.131 3.425
OGLE-LMC-RRLYR-02173 18.817 19.329  0.3539833 0.0000009  2166.67971  0.246  0.178 5.018  0.000   -    0.4759757 0.0000031  2166.60131  0.138  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02199 18.845 19.343  0.3672158 0.0000009  2166.55009  0.261  0.207 4.970  0.074 3.541  0.4931194 0.0000024  2166.37705  0.205  0.173 4.511  0.000   -  
OGLE-LMC-RRLYR-02202 18.856 19.440  0.3573230 0.0000008  2165.61721  0.254  0.116 5.186  0.090 3.851  0.4800691 0.0000069  2165.45990  0.056  0.049   -    0.020   -  
OGLE-LMC-RRLYR-02223 18.902 19.403  0.3506642 0.0000011  2166.79676  0.231  0.153 5.018  0.138 3.826  0.4713539 0.0000034  2166.40967  0.158  0.172 3.893  0.000   -  
OGLE-LMC-RRLYR-02240 18.889 19.334  0.3487053 0.0000014  2166.78918  0.222  0.000   -    0.000   -    0.4698653 0.0000026  2166.50855  0.209  0.191 4.353  0.000   -  
OGLE-LMC-RRLYR-02242 18.747 19.294  0.3673679 0.0000010  2166.49347  0.231  0.116 4.861  0.124 2.816  0.4933999 0.0000030  2166.54893  0.158  0.179 3.742  0.000   -  
OGLE-LMC-RRLYR-02252 18.828 19.340  0.3522417 0.0000008  2165.81431  0.265  0.221 5.269  0.090 2.507  0.4739433 0.0000015  2165.44888  0.285  0.261 3.998  0.112 2.011
OGLE-LMC-RRLYR-02307 18.896 19.440  0.3566381 0.0000009  2166.73365  0.263  0.187 4.843  0.000   -    0.4790966 0.0000030  2166.61979  0.170  0.192 4.040  0.000   -  
OGLE-LMC-RRLYR-02338 18.751 19.275  0.3557846 0.0000009  2166.65799  0.244  0.178 5.301  0.011   -    0.4782680 0.0000023  2166.64866  0.186  0.242 4.557  0.000   -  
