OGLE-LMC-ECL-00199  15.792 17.223  148.683050  3730.0819  0.156  0.046  1.021  0.735 1.2281
OGLE-LMC-ECL-00200  19.464 19.583    0.927671  3560.9647  0.844  0.226  1.432  2.045 0.7188
OGLE-LMC-ECL-00201  17.303 17.335    2.158108  3568.2564  0.071  0.023  0.691  0.459 0.6600
OGLE-LMC-ECL-00202  19.734 20.182    2.078420  3567.2737  0.638  0.179  1.353  2.724 0.7994
OGLE-LMC-ECL-00203  19.806 20.008    1.532615  3559.9206  0.881  0.232  1.632  3.624 1.0787
OGLE-LMC-ECL-00204  18.840 20.025  105.288700  3679.4490  0.385  0.099  1.987  7.112 0.7981
OGLE-LMC-ECL-00205  18.277 18.493    2.804550  3560.9601  0.401  0.097  1.614  3.949 1.3398
OGLE-LMC-ECL-00206  19.027 20.003   12.917951  3570.1910  0.362  0.103  1.028  1.610 0.5320
OGLE-LMC-ECL-00207  18.514 18.522   13.653594  3598.5139  0.394  0.094  3.224 12.829 1.3221
OGLE-LMC-ECL-00208  19.381 19.721    2.547324  3562.1818  0.402  0.124  1.096  1.379 0.5206
OGLE-LMC-ECL-00209  18.591 18.581    8.308000  3570.3302  0.348  0.081  2.607 11.001 1.0618
OGLE-LMC-ECL-00210  17.960 18.592    3.927429  3562.1053  0.228  0.059  1.888  3.866 1.3772
OGLE-LMC-ECL-00211  18.462 18.720    6.738508  3573.0886  0.280  0.074  1.359  2.040 1.0804
OGLE-LMC-ECL-00212  19.738 20.457    2.970530  3560.4562  0.622  0.184  1.143  1.540 0.7614
OGLE-LMC-ECL-00213  18.473 18.522    3.543959  3601.1778  0.183  0.064  1.205  1.774 0.7141
OGLE-LMC-ECL-00214  19.277 19.339   23.136381  3583.9484  0.565  0.134  2.935 17.332 0.5763
OGLE-LMC-ECL-00215  18.189 19.271   69.267342  3706.6124  0.166  0.053  0.348 -0.178 1.0356
OGLE-LMC-ECL-00216  19.317 19.480    3.494168  3566.9747  1.242  0.232  3.508 15.269 1.3689
OGLE-LMC-ECL-00217  17.030 16.987   10.398756  3576.2691  0.091  0.024  1.808  5.010 0.7148
OGLE-LMC-ECL-00218  18.955 19.107    2.413657  3565.1835  0.314  0.095  1.163  1.507 0.8213
OGLE-LMC-ECL-00219  17.522 17.530   49.910800  3626.8841  0.315  0.061  4.816 27.264 1.2180
